ROI,Subject,R2_full,Unique_2D,Unique_3D,Unique_Semantic,Shared
V3v,1,0.015340892916258064,0.002020889500484291,0.00010075375031171063,0.0012701640292943628,0.0119490856361677
V3v,2,0.018361404041488227,0.010415193188002325,0.0007573059744995225,0.00021258360800402443,0.006976321270982355
V3v,3,0.031989456178945996,0.014316535266122865,0.0014916403174652926,0.0017060528438598288,0.01447522775149801
V3v,4,0.06887414343849874,0.01866887301850806,0.0006749850442687721,0.0061136384288507095,0.043416646946871196
V3v,5,0.05742594738561746,0.013916480258090669,5.903376008853378e-05,0.004069769056794237,0.03938066431064402
V3v,6,0.012321736148041551,0.003827092933030851,0.0009725634155467455,0.002062192783764516,0.005459887015699438
V3v,7,0.031189304718559074,0.009487816540251326,4.517614818866367e-05,0.0013306699968399505,0.020325642033279134
V3v,8,0.03904492615281807,0.005013888074769102,1.2100376054480222e-06,0.005476418248652637,0.028553409791790885
V3v,9,0.04929271793840395,0.012013127884389907,0.0065324124567693875,0.013810948296175685,0.016936229301068972
V3v,10,0.029153610761661453,0.01122080140648185,0.0003524196940343227,5.209674553607879e-05,0.0175282929156092
V3v,11,0.01857580399379699,0.004017133667854611,0.0022401502378613936,0.005513884135976532,0.006804635952104454
V3v,12,0.05058989510666034,0.004703906305535299,8.469584725778745e-07,0.008671556411205206,0.03721358543144726
V3v,13,0.007569709935725588,0.0007144960820382185,0.002829999506602787,0.00036552381347532137,0.003659690533609261
V3v,14,0.03901236684432052,0.010190086257991893,0.0034267750875299763,0.00850149504321207,0.016894010455586583
V3v,15,0.01576544820453807,0.007925494465240934,0.0012169003661400835,0.0008513104454501708,0.00577174292770688
V3v,16,0.006451795990598863,0.0004436758911191552,0.0002323640163338636,0.0004771912239009968,0.0052985648592448475
VO1,1,0.009062996880893737,0.0007679786633504326,0.0013641654954774651,1.2091846934847439e-06,0.006929643537372354
VO1,2,0.002030577726643279,4.238816147994484e-05,0.0006157499721389792,6.608069118119175e-06,0.0013658315239062357
VO1,3,0.017801805531644566,0.011025868101968594,0.003117713498257957,0.0009711795897446862,0.002687044341673328
VO1,4,0.029279793719051317,0.011411873624303626,0.00305286530669846,0.003967083818882888,0.010847970969166343
VO1,5,0.026815879252761632,0.009396209052716542,0.0019229472412459758,0.0035210923565734964,0.011975630602225618
VO1,6,0.0014424821107835717,0.00015202335398434297,0.00040956921687340664,0.0008285733143796881,5.231622554613402e-05
VO1,7,0.01531190016572992,0.005249150217180865,0.00012958168030952066,0.0007353722791820783,0.009197795989057456
VO1,8,0.016641141051958575,0.0006950252500657061,0.00048519023346338397,0.006719227167535924,0.00874169840089356
VO1,9,0.02339051197616393,0.007606271630953398,0.003544530392407097,0.005189371358518158,0.007050338594285277
VO1,10,0.008365462535004142,0.00655381013646239,0.0002999237882826966,0.00014707315962081413,0.0013646554506382413
VO1,11,0.016556568777750136,0.00747368671235471,0.0013763326245302965,0.0013628304430821636,0.0063437189977829656
VO1,12,0.01993916364065973,0.001760717535233658,5.442797108512476e-05,0.002829313539244316,0.015294704595096631
VO1,13,0.006164134461744353,0.0010212113199530304,0.002531691796204494,0.000340982317375893,0.0022702490282109355
VO1,14,0.010207948685687862,0.0025784896172823535,0.0025990716119587143,0.0036971731927104567,0.0013332142637363376
VO1,15,0.007552582134639052,0.0049122976664789375,0.0015004039924378931,0.000378127477565382,0.0007617529981568394
VO1,16,0.004897969423909299,0.0006059945168320757,1.1474034645631015e-05,0.0008590386060910449,0.003421462266340547
VO2,1,0.00924465977941602,0.0019758778002975097,0.00015682626303814562,0.0013700472215280035,0.005741908494552361
VO2,2,0.0019339041429675685,9.700902729170569e-05,0.0012755059015536752,3.411888556414944e-05,0.0005272703285580382
VO2,3,0.01713761825163418,0.011356763552493154,0.0033555480168464547,0.0007596302823528189,0.0016656763999417512
VO2,4,0.022191686886544493,0.010272338159286853,0.006326874837598195,0.004227664318752211,0.0013648095709072328
VO2,5,0.00824013449693084,0.005462636895258832,0.0025648300307596905,0.0006268352051826964,-0.0004141676342703793
VO2,6,0.0003605261857350106,6.881035842232208e-07,0.00014089777484582733,0.00031888592440143526,-9.99456170964752e-05
VO2,7,0.01790469211280732,0.010512268923073664,0.0011909549805885211,0.00034211968928110625,0.005859348519864027
VO2,8,0.014191375532482065,0.0008249227941947712,0.003286582673310945,0.008916088342735495,0.001163781722240853
VO2,9,0.011233873473846412,0.00309432641977081,0.003540399314510112,0.0041568716861644095,0.00044227605340108056
VO2,10,0.01153932424584636,0.010867543378123123,0.0022967494913610498,0.00011082893454861242,-0.001735797558186425
VO2,11,0.009580677848622932,0.0022738864779584533,0.0006367779735895196,0.0020442964248434947,0.004625716972231464
VO2,12,0.01133328262101485,0.0012289793240153335,3.3375940276192395e-05,0.0013539480900206513,0.008716979266702674
VO2,13,0.007518785871907796,0.00031242970345413124,0.0008885815943436848,0.0015952932409590836,0.004722481333150896
VO2,14,0.005739200299507141,0.0012300202628174883,0.0019303429513207737,0.002578208369914181,6.287154546980034e-07
VO2,15,0.008682557717661465,0.006053823059105956,0.002443262564823856,0.0004622444316615404,-0.000276772337929887
VO2,16,0.003747878015932904,0.0004901400863182026,0.000253999946832173,3.3425303198275635e-05,0.0029703126795842527
